i 277 2208 3079;
y 277 1937 2232;
i- 277 1520 2310;
uu 277 1218 2500;
v1 227 845 2460;
u 277 553 2420;
I 344 2170 2660;
Y 344 1770 2230;
it 344 1507 2390;
uut 344 1228 2500;
u2 344 635 2413;
e 414 2065 2570;
o- 414 1608 2250;
schwa 414 1516 2500;
rh 414 1238 2500;
o- 414 721 2406;
e2 487 1928 2580;
schwa2 487 1492 2505;
rh2 487 1248 2500;
v2 487 845 2460;
o2 487 815 2393;
eps 565 1819 2528;
oe 565 1520 2500;
eps2 565 1462 2500;
wedge 565 1258 2500;
openo 565 915 2373;
ae 648 1712 2490;
uda 648 1405 2500;
uda2t 648 1023 2500;
udat 735 1498 2537;
a2 735 1278 2500;
uda2t 735 1141 2280;
a 800 1228 2500;
